citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
60 FR 14199, 95-6588,14199,https://www.federalregister.gov/documents/1995/03/15/95-6588/executive-order-12956-of-march-13-1995,https://www.govinfo.gov/content/pkg/FR-1995-03-15/pdf/95-6588.pdf,Presidential Document,Executive Order,03/15/1995,1995-03-13,14199,"Executive Order 12956 of March 13, 1995","",12956,""
59 FR 45181, 94-21738,45181,https://www.federalregister.gov/documents/1994/08/31/94-21738/establishing-an-emergency-board-to-investigate-a-dispute-between-the-soo-line-railroad-company-and,"",Presidential Document,Executive Order,08/31/1994,1994-08-29,45181,Establishing an Emergency Board To Investigate a Dispute Between the Soo Line Railroad Company and Certain of Its Employees Represented by the United Transportation Union,"",12925,""
59 FR 59075, 94-28430,59095,https://www.federalregister.gov/documents/1994/11/15/94-28430/amendments-to-the-manual-for-courts-martial-united-states-1984,"",Presidential Document,Executive Order,11/15/1994,1994-11-10,59075,"Amendments to the Manual for Courts-Martial, United States, 1984","Amends: EO 12473, April 13, 1984
See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12960, May 12, 1995; EO 13086, May 27, 1998; EO 13140, October 6, 1999",12936,""
59 FR 59097, 94-28431,59098,https://www.federalregister.gov/documents/1994/11/15/94-28431/declassification-of-selected-records-within-the-national-archives-of-the-united-states,"",Presidential Document,Executive Order,11/15/1994,1994-11-10,59097,Declassification of Selected Records Within the National Archives of the United States,"",12937,""
60 FR 5079, X95-110125,5081,https://www.federalregister.gov/documents/1995/01/25/X95-110125/prohibiting-transactions-with-terrorists-who-threaten-to-disrupt-the-middle-east-peace-process,https://www.govinfo.gov/content/pkg/FR-1995-01-25/pdf/X95-110125.pdf,Presidential Document,Executive Order,01/25/1995,1995-01-23,5079,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process,"Amended by: EO 13099, August 20, 1998; EO 13371, February 16, 2005; Continued by: Notice of January 18, 1996; Notice of January 21, 1997; Notice of January 21, 1998; Notice of January 19, 2000;
See: Notice of January 3, 1996; Notice of January 19, 2001; Notice of January 18, 2002; Notice of January 20, 2003; Notice of January 16, 2004; January 17, 2005; Notice of January 18, 2006; Notice of January 18, 2007; Notice of January 18, 2008; Notice of January 15, 2009; Notice of January 20, 2010",12947,""
59 FR 43437, 94-20873,43438,https://www.federalregister.gov/documents/1994/08/23/94-20873/continuation-of-export-control-regulations,"",Presidential Document,Executive Order,08/23/1994,1994-08-19,43437,Continuation of Export Control Regulations,"",12924,""
59 FR 47781, 94-23273,4778,https://www.federalregister.gov/documents/1994/09/19/94-23273/ordering-the-selected-reserve-of-the-armed-forces-to-active-duty,"",Presidential Document,Executive Order,09/19/1994,1994-09-15,47781,Ordering the Selected Reserve of the Armed Forces to Active Duty,"",12927,""
59 FR 62545, 94-30035,62546,https://www.federalregister.gov/documents/1994/12/05/94-30035/seismic-safety-of-existing-federally-owned-or-leased-buildings,"",Presidential Document,Executive Order,12/05/1994,1994-12-01,62545,Seismic Safety of Existing Federally Owned or Leased Buildings,"Revoked by: EO 13717, February 2, 2016",12941,""
59 FR 61231, 94-29541,61231,https://www.federalregister.gov/documents/1994/11/29/94-29541/expedited-naturalization-of-aliens-and-noncitizen-nationals-who-served-in-an-active-duty-status,"",Presidential Document,Executive Order,11/29/1994,1994-11-22,61231,Expedited Naturalization of Aliens and Noncitizen Nationals Who Served in an Active-Duty Status During the Persian Gulf Conflict,"Revokes: EO 12735, November 16, 1990; EO 12930, September 29, 1994; 
Amended by: EO 13094, July 28, 1998; EO 13128, June 25, 1999; EO 13382, June 28, 2005;
See: Notice of November 8, 1995; Notice of November 12, 1996; Notice of November 12, 1997; Notice of November 12, 1998; Notice of November 10, 1999; Notice of November 9, 2000; EO 13159, June 21, 2000; EO 13206, April 4, 2001; Notice of November 9, 2001; Notice of November 6, 2002; Notice of October 29, 2003; Notice of November 4, 2004; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009",12939,""
59 FR 61519, 94-29663,61959,https://www.federalregister.gov/documents/1994/11/30/94-29663/amendment-to-civil-service-rule-vi,"",Presidential Document,Executive Order,11/30/1994,1994-11-28,61519,Amendment to Civil Service Rule VI,"Supersedes: EO 12300, March 23, 1981",12940,""
