citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
34 FR 15527, ,"","","",Presidential Document,Executive Order,10/07/1969,1969-10-03,"",Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conference and certain of their employees,"Revoked by: EO 12553, February 25, 1986",11486,""
34 FR 15593, ,"","","",Presidential Document,Executive Order,10/08/1969,1969-10-06,"",Designation of officers of the Department of the Interior to act as Secretary of the Interior,"Supersedes: EO 10753, February 15, 1958
Revoked by: EO 13244, December 18,       2001",11487,""
34 FR 15835, ,"","","",Presidential Document,Executive Order,10/15/1969,1969-10-13,"",Including certain lands in the Cherokee National Forest,"",11488,""
34 FR 17419, ,"","","",Presidential Document,Executive Order,10/29/1969,1969-10-27,"","Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule","Amends: EO 11248, October 10, 1965",11489,""
34 FR 17605, ,"","","",Presidential Document,Executive Order,10/31/1969,1969-10-29,"",Labor-management relations in the Federal service,"Revokes: EO 10988, January 17, 1962
Amended by: EO 11616, August 26, 1971; EO       11636, December 17, 1971; EO 11838, February       6, 1975; EO 11901, January 30, 1976; EO       12027, December 5, 1977; EO 12107, December       28, 1978
See: Memorandum of March 11, 1971; Memorandum of July 14, 1971",11491,""
34 FR 18289, ,"","","",Presidential Document,Executive Order,11/15/1969,1969-11-13,"",Establishing the Council for Rural Affairs,"Council terminated by EO 11541, July 1,       1970
Revoked by: EO 12553, February 25, 1986",11493,""
34 FR 18291, ,"","","",Presidential Document,Executive Order,11/15/1969,1969-11-13,"",Establishing the Presidential Citizens Medal,"",11494,""
34 FR 18447, ,"","","",Presidential Document,Executive Order,11/20/1969,1969-11-18,"",Providing for the administration of the Disaster Relief Act of 1969,"Revoked by: EO 11575, December 31, 1970",11495,""
34 FR 18799, ,"","","",Presidential Document,Executive Order,11/25/1969,1969-11-21,"",Regulation governing the entry or withdrawal from warehouse of certain meat with respect to which an agreement has been concluded,"",11496,""
34 FR 19701, ,"","","",Presidential Document,Executive Order,12/16/1969,1969-12-12,"","Amending Executive Order No. 11452, establishing the Council for Urban Affairs","Amends: EO 11452, January 23, 1969
See: EO 11541, July 1, 1970",11500,""
34 FR 20171, ,"","","",Presidential Document,Executive Order,12/24/1969,1969-12-22,"",Enlarging the membership of the President's Committee on the National Medal of Science,"Amends: EO 11287, June 28, 1966",11502,""
34 FR 20173, ,"","","",Presidential Document,Executive Order,12/24/1969,1969-12-23,"","Excusing Federal employees from duty on December 26, 1969","See: EO 10358, June 9, 1952",11503,""
35 FR 939, ,"","","",Presidential Document,Executive Order,01/23/1970,1970-01-21,"","Inspection of income, excess-profits, estate, and gift tax returns by the Senate Committee on the Judiciary","",11505,""
35 FR 2501, ,"","","",Presidential Document,Executive Order,02/04/1970,1970-02-02,"","Further amending Executive Order No. 11211, relating to the exclusion for original or new Japanese issues as required for international monetary stability","Amends: EO 11211, April 2, 1965
See: EO 11368, August 28, 1967",11506,""
35 FR 2573, ,"","","",Presidential Document,Executive Order,02/05/1970,1970-02-04,"","Prevention, control, and abatement of air and water pollution at Federal facilities","Supersedes: EO 11282, May 26, 1966; EO       11288, July 2, 1966
Superseded by: EO 11752, December 17, 1973",11507,""
35 FR 2855, ,"","","",Presidential Document,Executive Order,02/12/1970,1970-02-10,"",Providing for the identification of unneeded Federal real property,"Amended by: EO 11560, September 23, 1970
Superseded by: EO 11724, June 25, 1973",11508,""
35 FR 3877, ,"","","",Presidential Document,Executive Order,02/28/1970,1970-02-27,"",Amending Executive Order No. 11157 as it relates to basic allowances for quarters for members without dependents,"Amends: EO 11157, June 22, 1964",11511,""
35 FR 3979, ,"","","",Presidential Document,Executive Order,03/03/1970,1970-02-27,"","Planning, acquisition, and management of Federal space","Supersedes: EO 11035, July 9, 1962
Revoked by: EO 12072, August 16, 1978",11512,""
35 FR 4113, ,"","","",Presidential Document,Executive Order,03/05/1970,1970-03-03,"",Establishing the President's Commission on School Finance,"Amended by: EO 11597, June 11, 1971",11513,""
35 FR 4247, ,"","","",Presidential Document,Executive Order,03/07/1970,1970-03-05,"",Protection and enhancement of environmental quality,"Amends: EO 11472, May 29, 1969
Amended by: EO 11541, July 1, 1970; EO       11991, May 24, 1977
See: EPA regulations FRL 366-8, 40 FR 20239; EO       11988, May 24, 1977; EO 11990,       May 24, 1977; EO 12007, August 22,       1977",11514,""
35 FR 4543, ,"","","",Presidential Document,Executive Order,03/14/1970,1970-03-13,"",Terminating certain bodies established by the President,"Revokes: EO 10898, December 2, 1960; EO       10986, January 12, 1962; EO 11117,       August 13, 1963; EO 11152, April 15, 1964
Amends: EO 9586, July 6, 1945; EO       11382, November 28, 1967
See: Pub. L. 94-412 (90 Stat. 1255, 50 U.S.C. 1601)",11515,""
35 FR 4935, ,"","","",Presidential Document,Executive Order,03/21/1970,1970-03-19,"","Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule","Amends: EO 11248, October 10, 1965",11516,""
35 FR 4937, ,"","","",Presidential Document,Executive Order,03/21/1970,1970-03-19,"",Providing for the issuance and signature by the Secretary of State of warrants appointing agents to return fugitives from justice extradited to the United States,"Amends: EO 10347, April 18, 1952
See: EO 11354, May 23, 1967",11517,""
