citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
43 FR 24659, ,"","","",Presidential Document,Executive Order,06/07/1978,1978-06-05,"",United States Court of Military Appeals Nominating Commission,"Commission continued by: EO 12110, December 28, 1978
Revoked by: EO 12258, December 31, 1980",12063,""
43 FR 24661, ,"","","",Presidential Document,Executive Order,06/07/1978,1978-06-05,"",United States Tax Court Nominating Commission,"Commission continued by: EO 12110, December 28, 1978;       EO 12258, December 31, 1980
Revoked by: EO 12305, May 5, 1981",12064,""
43 FR 28949, ,"","","",Presidential Document,Executive Order,07/03/1978,1978-06-28,"",National security information,"Revokes: EO 11652, March 8, 1972
Amended by: EO 12148, July 20, 1979; EO       12163, September 29, 1979
Revoked by: EO 12356, April 2, 1982 (corrected       April 12, 1982)
See: EO 11714, April 24, 1973; EO       11862, June 11, 1975",12065,""
43 FR 28965, ,"","","",Presidential Document,Executive Order,07/05/1978,1978-06-29,"",Inspection of Foreign assistance programs,"Revoked by: EO 12292, February 23,       1981",12066,""
43 FR 28967, ,"","","",Presidential Document,Executive Order,07/05/1978,1978-06-30,"",Providing for coordination of Federal equal employment opportunity programs,"Amended by: EO 12107, December 28, 1978",12067,""
43 FR 30259, ,"","","",Presidential Document,Executive Order,07/14/1978,1978-07-12,"",President's Commission on Pension Policy,"Amended by: EO 12100, November 17, 1978
Commission extended by: Pub. L. 96-14, May 24, 1979
Revoked by: EO 12379, August 17, 1982",12071,""
43 FR 36873, ,"","","",Presidential Document,Executive Order,08/18/1978,1978-08-16,"",Federal procurement in labor surplus areas,"",12073,""
43 FR 36877, ,"","","",Presidential Document,Executive Order,08/18/1978,1978-08-16,"",Interagency Coordinating Council,"Amended by: EO 12148, July 20, 1979
Revoked by: EO 12379, August 17, 1982",12075,""
43 FR 39741, ,"","","",Presidential Document,Executive Order,09/07/1978,1978-09-05,"",Presidential Commission on World Hunger,"Amended by: EO 12219, June 19, 1980
Revoked by: EO 12258, December 31, 1980
See: EO 12024, December 1, 1977",12078,""
43 FR 42235, ,"","","",Presidential Document,Executive Order,09/20/1978,1978-09-18,"",Commemorative Presidential proclamations,"Amends: EO 11030, June 19, 1962",12080,""
43 FR 42237, ,"","","",Presidential Document,Executive Order,09/20/1978,1978-09-18,"",Termination of expeditious naturalization based on military service,"",12081,""
43 FR 42727, ,"","","",Presidential Document,Executive Order,09/21/1978,1978-09-19,"",Suspension of Certain Armed Forces promotion and disability separation limitations,"Revokes: EO 10616, June 21, 1955; EO       11151, April 8, 1964; EO 11437, December       2, 1968; EO 11554, August 29, 1970
Revoked by: EO 12239, September 21, 1980",12082,""
43 FR 44815, ,"","","",Presidential Document,Executive Order,09/29/1978,1978-09-27,"",Judicial Nominating Commission for the District of Puerto Rico,"Amended by: EO 12097, November 8, 1978
Commission continued by EO 12110, December 28, 1978;       EO 12258, December 31, 1980
Revoked by: EO 12305, May 5, 1981",12084,""
43 FR 45337, ,"","","",Presidential Document,Executive Order,10/02/1978,1978-09-28,"",Creating an emergency board to investigate a dispute between the Norfolk and Western Railway Company and certain of its employees,"Revoked by: EO 12379, August 17, 1982",12085,""
43 FR 47707, ,"","","",Presidential Document,Executive Order,10/17/1978,1978-10-13,"",Federal Compliance With Pollution Control Standards,"Revokes: EO 11752, December 17, 1973
Amended by: EO 12580, January 23, 1987
Revoked by: EO 13148, April 21, 2000 (in       part)
See: EO 12217, June 18, 1980",12088,""
43 FR 49773, ,"","","",Presidential Document,Executive Order,10/25/1978,1978-10-23,"",National Productivity Council,"Amended by: EO 12107, December 28, 1978
Revoked by: EO 12379, August 17, 1982",12089,""
43 FR 50997, ,"","","",Presidential Document,Executive Order,11/02/1978,1978-10-31,"",President's Commission on Foreign Language and International Studies,"Amends: EO 12054, April 21, 1978
Revoked by: EO 12258, December 31, 1980",12090,""
43 FR 51377, ,"","","",Presidential Document,Executive Order,11/03/1978,1978-11-01,"",President's Commission on the Holocaust,"Amended by: EO 12151, August 14, 1979
Revoked by: EO 12258, December 31, 1980",12093,""
43 FR 51379, ,"","","",Presidential Document,Executive Order,11/03/1978,1978-11-01,"",Special Pay for Sea Duty,"Amends: EO 11157, June 22, 1964",12094,""
43 FR 51595, ,"","","",Presidential Document,Executive Order,11/06/1978,1978-11-02,"","Creating an emergency board to investigate a dispute between Wien Air Alaska, Inc. and certain individuals","Revoked by: EO 12379, August 17, 1982",12095,""
43 FR 52455, ,"","","",Presidential Document,Executive Order,11/13/1978,1978-11-08,"",Standards and guidelines for the merit selection of United States District Judges,"Amends: 12059, May 11, 1978; EO 12084, September 27, 1978
Revoked in part by: EO 12305, May       5, 1981
Revoked by: EO 12553, February 25, 1986",12097,""
43 FR 53411, ,"","","",Presidential Document,Executive Order,11/16/1978,1978-11-14,"",Physical Fitness and Sports,"Amends: EO 11562, September 25, 1970
Revoked by: EO 12345, February 2, 1982
See: EO 11945, October 25, 1976",12098,""
43 FR 54191, ,"","","",Presidential Document,Executive Order,11/21/1978,1978-11-17,"",Levels IV and V of the Executive Schedule,"Amends: EO 12076, August 18, 1978
Revoked by: EO 12154, September 4, 1979",12099,""
